ID,备注【排版要把字体改为黑体】,对应界面（策划内部看的）,简中,英语,日语
${diff} meters more to go beyond yourself,,,还差${diff}就能超越自己的纪录了,${diff} meters more to go beyond yourself,
${player} current rank total score: ${score},,,${player} 当前排行榜总积分： ${score},${player} current rank total score: ${score},
"You only get the last prize after surrender, are you sure?",,,"现在结束游戏的话，
你只能获得最后一名的奖励，
你确定吗？","You only get the last prize after surrender, are you sure?",
Are you sure you want to quit the game?  The current game data will be saved automatically after exit.,,,"确定退出游戏吗？
当前的游戏数据会自动保存。",Are you sure you want to quit the game?  The current game data will be saved automatically after exit.,
Are you sure to restart the game? The current game data will be saved automatically after exit.,,,"确定重新开始游戏吗？
当前的游戏数据会自动保存。",Are you sure to restart the game? The current game data will be saved automatically after exit.,
Do you want log out?,,,要登出账号吗？,Do you want log out?,
Gold Coin is not enough!,,,金币不足！,Gold Coin is not enough!,
BikeDsc,,,"【No.${index} 自行车】
速度     ${speed}%
跳跃力   ${jump}%
连续跳跃 ${highJump}
体积     ${size}","【No.${index} bike】
Speed     ${speed}%
Jump      ${jump}%
HighJump  ${highJump}
Size      ${size}",
LevelDsc,,,等级     ${level},LV        ${level},
BonusDsc,,,"金币     ${coin}
里程     ${distance}
积分     ${score}","Gold Coin ${coin}
Distance  ${distance}
Score     ${score}",
Easy,,,容易,Easy,
Normal,,,正常,Normal,
Hard,,,困难,Hard,
Small,,,小,Small,
Middle,,,中,Middle,
Big,,,大,Big,
Loading,,,加载中,Loading,
LearnJump,,,点击画面可以进行跳跃,,
LearnItem,,,点击左边两个道具栏可以使用道具,,
Select Map1,,,地图1,Map1,
Select Map2,,,地图2,Map2,
Select Map3,,,地图3,Map3,
Select Map4,,,地图4,Map4,
Select Map5,,,地图5,Map5,
Select Map6,,,地图6,Map6,
Select Map7,,,地图7,Map7,
Select Map8,,,地图8,Map8,
Select Map9,,,地图9,Map9,
Select Map10,,,地图10,Map10,
Select Map11,,,地图11,Map11,
Select Map12,,,地图12,Map12,
Random role1,,,淡淡紫丁香へ,NPC1,
Random role2,,,oО绿帽侠,NPC2,
Random role3,,,姐与作业水土不服づ,NPC3,
Random role4,,,薄荷街的兔比先生。,NPC4,
Random role5,,,初吻给了烟,NPC5,
Random role6,,,小小的机枪·哒哒哒,NPC6,
Random role7,,,情兽。,NPC7,
Random role8,,,采姑娘的小蘑菇,NPC8,
Random role9,,,铁打的身子不锈钢的心,NPC9,
Random role10,,,囧囧、开心,NPC10,
Random role11,,,看我电不死你丶,NPC11,
Random role12,,,﹏贫僧是来化妞滴,NPC12,
Random role13,,,老衲满头秀发,NPC13,
Random role14,,,老衲法号情圣,NPC14,
Random role15,,,挺直腰杆,NPC15,
Random role16,,,条子会发光i,NPC16,
Random role17,,,口袋里有糖@,NPC17,
Random role18,,,鸭梨山大,NPC18,
Random role19,,,紫纱魅惑妖人魂,NPC19,
Random role20,,,犯二的骚年不忧伤╭,NPC20,
Random role21,,,起名网yw11.com,NPC21,
Random role22,,,孟婆来杯优乐美,NPC22,
Random role23,,,我有我的装逼梦i,NPC23,
Random role24,,,懒癌晚期i,NPC24,
Random role25,,,官方认证鹿夫人,NPC25,
Random role26,,,你与氧气共存,NPC26,
Random role27,,,划出那一道晗颜°,NPC27,
Random role28,,,带护翼的天使,NPC28,
Random role29,,,思钱想厚,NPC29,
Random role30,,,该用户太懒还没想好网名,NPC30,
Tip1,,,只要不落地，都可以进行第2次跳跃。,,
Tip2,,,包含第3次之后的跳跃，跳跃间隔时间不能太久。,,
Tip3,,,玩家正常可以进行7次连续跳跃。,,
Tip4,,,死亡复活后，可以上下移动调整复活位置。,,
Tip5,,,道具栏满后，再获得道具就浪费了。,,
Tip6,,,小鸟，是可以踩死的。,,
Tip7,,,滚石，是可以踩上去的。,,
Tip8,,,蜘蛛网，跳跃3次就可以挣脱的。,,
Tip9,,,复活期间，是不会中不良状态道具的。,,
say2,,,第1次使用 2号车,,
say3,,,第1次使用 3号车,,
say4,,,第1次使用 4号车,,
say5,,,第1次使用 5号车,,
say6,,,第1次使用 6号车,,
say7,,,第1次使用 7号车,,
say8,,,第1次使用 8号车,,
say9,,,第1次使用 9号车,,
say10,,,第1次使用 10号车,,
say11,,,第1次使用 11号车,,
say12,,,第1次使用 12号车,,
say13,,,第1次使用 13号车,,
say14,,,第1次使用 14号车,,
say15,,,第1次使用 15号车,,
say16,,,第1次使用 16号车,,
say17,,,第1次使用 17号车,,
say18,,,第1次使用 18号车,,
say19,,,第1次使用 19号车,,
say20,,,第1次使用 20号车,,
say21,,,第1次使用 21号车,,
say22,,,第1次使用 22号车,,
say23,,,第1次使用 23号车,,
say24,,,第1次使用 24号车,,
say25,,,第1次使用 25号车,,
say26,,,第1次使用 26号车,,
say27,,,第1次使用 27号车,,
say28,,,第1次使用 28号车,,
say29,,,第1次使用 29号车,,
say30,,,第1次使用 30号车,,
say31,,,第1次使用 31号车,,
say32,,,第1次使用 32号车,,
say33,,,第1次使用 33号车,,
say1001,,,第1次  进入无尽模式关卡,,
say1002,,,第2次  进入无尽模式关卡 之前无尽模式里程超过600M（不算加成）,,
say1003,,,第3次  进入无尽模式关卡 之前无尽模式里程超过600M（不算加成）,,
say1004,,,第4次  进入无尽模式关卡 之前无尽模式里程超过600M（不算加成）,,
say1005,,,第5次  进入无尽模式关卡 之前无尽模式里程超过600M（不算加成）,,
say1006,,,第6次  进入无尽模式关卡 之前无尽模式里程超过600M（不算加成）,,
say1007,,,第7次  进入无尽模式关卡 之前无尽模式里程超过600M（不算加成）,,
say1008,,,第8次  进入无尽模式关卡 之前无尽模式里程超过600M（不算加成）,,
say1009,,,第9次  进入无尽模式关卡 之前无尽模式里程超过600M（不算加成）,,
say1010,,,第10次 进入无尽模式关卡 之前无尽模式里程超过600M（不算加成）,,
say1011,,,第11次 进入无尽模式关卡 之前无尽模式里程超过600M（不算加成）,,
say2001,,,第1次  进入排名竞赛关卡,,
say2002,,,第2次  进入排名竞赛关卡,,
say2003,,,第3次  进入排名竞赛关卡,,
say2004,,,第4次  进入排名竞赛关卡,,
say2005,,,第5次  进入排名竞赛关卡,,
say2006,,,第6次  进入排名竞赛关卡,,
say2007,,,第7次  进入排名竞赛关卡,,
say2008,,,第8次  进入排名竞赛关卡,,
say2009,,,第9次  进入排名竞赛关卡,,
say2010,,,第10次 进入排名竞赛关卡,,
say2011,,,第11次 进入排名竞赛关卡,,
say3001,,,无限循环 进入无尽模式关卡 之前无尽模式里程没有过600M（不算加成） 随机1,,
say3002,,,无限循环 进入无尽模式关卡 之前无尽模式里程没有过600M（不算加成） 随机2,,
say3003,,,无限循环 进入无尽模式关卡 之前无尽模式里程没有过600M（不算加成） 随机3,,
say3004,,,无限循环 进入无尽模式关卡 之前无尽模式里程没有过600M（不算加成） 随机4,,
say3005,,,无限循环 进入无尽模式关卡 之前无尽模式里程没有过600M（不算加成） 随机5,,
say3006,,,无限循环 进入无尽模式关卡 之前无尽模式里程没有过600M（不算加成） 随机6,,
say3007,,,无限循环 进入无尽模式关卡 之前无尽模式里程没有过600M（不算加成） 随机7,,
say3008,,,无限循环 进入无尽模式关卡 之前无尽模式里程没有过600M（不算加成） 随机8,,
say3009,,,无限循环 进入无尽模式关卡 之前无尽模式里程没有过600M（不算加成） 随机9,,
say3010,,,无限循环 进入无尽模式关卡 之前无尽模式里程没有过600M（不算加成） 随机10,,
say3011,,,无限循环 进入无尽模式关卡 之前无尽模式里程没有过600M（不算加成） 随机11,,
say4001,,,无限循环 进入无尽模式关卡 之前无尽模式里程超过600M（不算加成） 随机1,,
say4002,,,无限循环 进入无尽模式关卡 之前无尽模式里程超过600M（不算加成） 随机2,,
say4003,,,无限循环 进入无尽模式关卡 之前无尽模式里程超过600M（不算加成） 随机3,,
say4004,,,无限循环 进入无尽模式关卡 之前无尽模式里程超过600M（不算加成） 随机4,,
say4005,,,无限循环 进入无尽模式关卡 之前无尽模式里程超过600M（不算加成） 随机5,,
say4006,,,无限循环 进入无尽模式关卡 之前无尽模式里程超过600M（不算加成） 随机6,,
say4007,,,无限循环 进入无尽模式关卡 之前无尽模式里程超过600M（不算加成） 随机7,,
say4008,,,无限循环 进入无尽模式关卡 之前无尽模式里程超过600M（不算加成） 随机8,,
say4009,,,无限循环 进入无尽模式关卡 之前无尽模式里程超过600M（不算加成） 随机9,,
say4010,,,无限循环 进入无尽模式关卡 之前无尽模式里程超过600M（不算加成） 随机10,,
say4011,,,无限循环 进入无尽模式关卡 之前无尽模式里程超过600M（不算加成） 随机11,,
say5001,,,无限循环 进入排名竞赛关卡 随机1,,
say5002,,,无限循环 进入排名竞赛关卡 随机2,,
say5003,,,无限循环 进入排名竞赛关卡 随机3,,
say5004,,,无限循环 进入排名竞赛关卡 随机4,,
say5005,,,无限循环 进入排名竞赛关卡 随机5,,
say5006,,,无限循环 进入排名竞赛关卡 随机6,,
say5007,,,无限循环 进入排名竞赛关卡 随机7,,
say5008,,,无限循环 进入排名竞赛关卡 随机8,,
say5009,,,无限循环 进入排名竞赛关卡 随机9,,
say5010,,,无限循环 进入排名竞赛关卡 随机10,,
say5011,,,无限循环 进入排名竞赛关卡 随机11,,
